4
5

0.0125, 0.025, 0.1, 0.5, 
334758.23019861593, 347321.8145441042, 335687.4483893123, 332931.3127373166, 
473529.75962865143, 462141.25844368746, 490835.4996086815, 419742.62121643045, 
476024.21385082416, 479855.2530633816, 475413.4288468178, 468286.7767017478, 
331002.98148954083, 343983.3891776621, 334937.5798628613, 314772.1429103333, 
524047.0242996438, 598095.4901559479, 627982.4452050948, 527864.6739935711, 

5.362234445741522e9, 1.3405586114353805e9, 8.378491321471128e7, 3.3513965285884524e6, 
5.416608357657523e9, 1.3541520894143808e9, 8.46345055883988e7, 3.385380223535953e6, 
5.407551635564671e9, 1.3518879088911676e9, 8.449299430569798e7, 3.3797197722279197e6, 
5.405224262555213e9, 1.3513060656388032e9, 8.44566291024252e7, 3.3782651640970088e6, 
5.385484011391835e9, 1.3463710028479588e9, 8.414818767799743e7, 3.3659275071198978e6, 
