4
5

0.0125, 0.025, 0.1, 0.5, 
983373.326854202, 967034.8390086662, 960457.697439715, 950638.7540183528, 
951435.9838179514, 934075.9136060353, 949255.9058935731, 954374.9322114419, 
421220.6745659068, 422343.6577287359, 434059.5942865771, 431993.09511254594, 
965757.6267191855, 947878.6091707925, 965469.4880467835, 953488.949563361, 
687441.1497635917, 684242.4266287648, 688291.8193709335, 679845.6461756206, 

5.373302456566219e9, 1.3433256141415548e9, 8.395785088384718e7, 3.358314035353888e6, 
5.437988618320525e9, 1.3594971545801313e9, 8.49685721612582e7, 3.398742886450329e6, 
5.41768406563826e9, 1.354421016409565e9, 8.465131352559781e7, 3.3860525410239133e6, 
5.41173751903211e9, 1.3529343797580276e9, 8.455839873487672e7, 3.38233594939507e6, 
5.452400422519146e9, 1.3631001056297865e9, 8.519375660186166e7, 3.407750264074467e6, 
