4
5

0.0125, 0.025, 0.1, 0.5, 
381301.0963273262, 216653.67695686588, 224389.52063453346, 189502.72111093235, 
134154.51868150244, 133807.7648563433, 133839.8969113681, 128480.09577964035, 
181745.83759098957, 207928.33681402827, 333665.8076644651, 325835.4980736454, 
244592.64510095873, 235757.66846307195, 244755.7199924113, 243550.0703151933, 
325545.48602156044, 322581.54487315676, 279460.9567567111, 277644.6427910984, 

2.2891772046250305e9, 5.722943011562576e8, 3.57683938222661e7, 1.4307357528906444e6, 
2.276725095420142e9, 5.691812738550355e8, 3.557382961593972e7, 1.4229531846375891e6, 
2.2701196763947406e9, 5.675299190986851e8, 3.547061994366782e7, 1.4188247977467133e6, 
2.2963147195328045e9, 5.740786798832011e8, 3.587991749270007e7, 1.435196699708003e6, 
2.2899979371120663e9, 5.724994842780166e8, 3.5781217767376035e7, 1.4312487106950416e6, 
